objname,objtype,de2000,al2000,v,e_v,vopt,e_vopt,vrad,e_vrad,bt,e_bt,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,incl,logdc,btc,itc,ubtc,bvtc,m21c,hic,mabs,agnclass,kt,e_kt,it,e_it,ut,vt,mfir,e_ut,e_vt
PGC1209879,G ,1.9086078,12.4026745,-36,19.5,-36,19.5,,,18.166,0.5,,,,,,,,0.515,0.123,0.37,0.028,,66.81,,18.068,16.909,,,,,,,,,16.952,0.075,19.324,,,0.041,
PGC1209966,G ,1.9110167,10.0016286,1867.9,7.8,1867.9,7.8,,,17.854,0.294,I,,,,,10,2,0.558,0.091,0.323,0.029,115.98,75.44,0.553,17.175,16.861,,,,,-14.941,,14.645,0.46,16.896,0.435,18.951,,,0.137,
PGC1211460,G ,1.9584899,12.8151846,30,64,30,64,,,18.08,0.5,,,,,,,,0.43,0.106,0.23,0.028,70,55.23,,17.984,,,,,,,,13.873,0.064,,,,,,,
PGC1211509,G ,1.9599,11.3979,90,64,90,64,,,18.42,0.5,,,,,,,,0.68,0.075,0.4,0.028,121,68.8,,18.271,,,,,,,,,,,,,,,,
PGC1211621,G ,1.9642758,15.0845529,2380.7,1.5,2380.6,2.5,2381,4.3,17.368,0.5,I,,,,,10,2,0.45,0.107,0.069,0.027,160.74,34.97,0.468,17.021,16.258,,,18.01,0.989,-15.819,,12.945,0.539,16.354,0.135,17.973,,,0.031,
PGC1217593,G ,2.1510476,15.1337154,1061.7,8.9,1061.7,8.9,,,17.741,0.5,E-S0,,,,,-3.5,2.1,0.499,0.099,0.153,0.029,35.6,59.8,0.525,17.494,16.449,,,,,-13.758,,,,16.55,0.052,18.823,,,0.147,
PGC1218738,G ,2.1849128,15.1009267,1656.7,2.7,1658.7,2.8,1652,4.3,16.316,0.381,Sm,,,,,9,1.4,0.838,0.065,0.06,0.027,148.39,32.64,0.858,15.974,15.322,,,17.138,1.164,-16.141,,,,15.422,0.061,17.232,,,0.122,
PGC1219195,G ,2.1987416,11.2347968,1375.8,1.9,1374.9,2.3,1379,4.3,17.14,0.5,I,,,,,10,2,0.86,0.058,0.56,0.028,49,90,0.853,15.938,,,,16.084,0.146,-15.58,,,,,,,,,,
PGC1219995,G ,2.2226882,9.7998697,1927.6,1.8,1928.2,1.2,1919,4.3,17.418,0.5,I,,,,,10,2,0.509,0.098,0.247,0.029,42.11,65.04,0.552,16.396,16.275,,,17.065,0.669,-15.812,,,,16.522,0.061,18.315,,,0.02,
PGC1223942,G ,2.3451324,10.1352604,1965.4,3.3,1964.4,1,1985,4.3,16.488,0.5,I,,,,,10,2,0.68,0.081,0.187,0.029,115.61,56.67,0.691,15.945,15.548,,,15.399,-0.546,-16.309,,,,15.634,0.047,17.224,,,0.023,
