                  objname , objtype ,     de2000 ,     al2000 ,        v ,      e_v ,     vopt ,   e_vopt ,     vrad ,   e_vrad ,     bt ,   e_bt ,  type ,  bar ,  ring ,  multiple , compactness ,     t ,   e_t ,   logd25 , e_logd25 ,   logr25 , e_logr25 ,     pa ,   incl ,    logdc ,    btc ,    itc ,   ubtc ,   bvtc ,   m21c ,    hic ,   mabs , agnclass ,     kt ,  e_kt ,     it ,   e_it ,     ut ,     vt ,   mfir ,  e_ut ,  e_vt ,</strong>
  UGC10445                    , G       ,   28.98452 ,   16.56319 ,      960 ,        2 ,      959 ,        2 ,      962 ,        2 ,  13.77 ,   0.45 , Sc    , B    , R     , M         ,             ,   6.1 ,   0.9 ,     1.29 ,     0.03 ,     0.15 ,     0.03 ,  139.2 ,   45.8 ,     1.30 ,  13.36 ,  12.69 ,  -0.51 ,   0.33 ,  14.12 ,   0.77 , -17.89 ,          , 12.498 , 0.426 ,  12.75 ,   0.29 , 14.531 , 13.069 ,  13.76 , 0.812 , 0.022 ,
  NGC6140                     , G       ,   65.39017 ,   16.34941 ,      907 ,        3 ,      895 ,       16 ,      908 ,        3 ,  12.25 ,   0.16 , Sc    , B    ,       , M         ,             ,   5.6 ,   0.6 ,     1.32 ,     0.03 ,     0.07 ,     0.04 ,   83.3 ,   32.2 ,     1.33 ,  12.02 ,  10.65 ,  -0.24 ,   0.49 ,  12.88 ,   0.85 , -19.23 ,          ,  9.988 , 0.289 ,  10.70 ,   0.08 , 12.044 , 11.656 ,  12.52 , 0.162 , 0.095 ,
  NGC6236                     , G       ,   70.78036 ,   16.74299 ,     1280 ,        2 ,     1280 ,        5 ,     1280 ,        3 ,  12.60 ,   0.33 , SABc  , B    ,       ,           ,             ,   5.9 ,   0.5 ,     1.26 ,     0.04 ,     0.23 ,     0.03 ,   12.3 ,   55.2 ,     1.27 ,  12.03 ,  12.46 ,        ,        ,  14.29 ,   2.26 , -19.77 ,          , 11.309 , 0.088 ,  12.53 ,   0.43 ,        ,  13.93 ,  13.40 ,       ,   0.1 ,
  NGC3031                     , G       ,   69.06528 ,    9.92588 ,      -38 ,        3 ,      -26 ,       11 ,      -39 ,        3 ,   7.79 ,   0.10 , Sab   ,      ,       ,           ,             ,   2.4 ,   0.6 ,     2.33 ,     0.01 ,     0.28 ,     0.04 ,  157.0 ,   62.7 ,     2.36 ,   7.07 ,        ,        ,   0.82 ,  10.03 ,   2.96 , -20.71 , Q        ,   3.84 , 0.048 ,        ,        ,        ,  6.919 ,   8.60 ,       , 0.106 ,
  NGC2976                     , G       ,   67.91626 ,    9.78764 ,        5 ,        3 ,       10 ,       27 ,        4 ,        4 ,  10.81 ,   0.09 , Sc    ,      ,       ,           ,             ,   5.2 ,   1.1 ,     1.76 ,     0.02 ,     0.28 ,     0.04 ,  143.0 ,   60.5 ,     1.78 ,  10.02 ,   9.05 ,  -0.09 ,   0.54 ,  13.51 ,   3.50 , -17.75 ,          ,  7.544 , 0.071 ,   9.19 ,   0.08 , 10.808 , 10.159 ,        , 0.093 , 0.083 ,
  NGC2403                     , G       ,   65.60242 ,    7.61428 ,      141 ,        9 ,      155 ,        3 ,      130 ,        3 ,   8.83 ,   0.12 , SABc  , B    ,       ,           ,             ,   6.0 ,   0.3 ,     2.30 ,     0.02 ,     0.30 ,     0.04 ,  126.3 ,   61.3 ,     2.30 ,   8.13 ,        ,        ,   0.37 ,  10.19 ,   2.06 , -19.40 ,          ,  6.243 , 0.136 ,        ,        ,        ,  8.428 ,   8.62 ,       , 0.098 ,
  UGC03698                    , G       ,   44.38001 ,    7.15507 ,      423 ,        4 ,      395 ,       37 ,      424 ,        4 ,  15.72 ,   0.78 , I     ,      ,       ,           ,             ,   9.8 ,   0.5 ,     0.98 ,     0.09 ,     0.19 ,     0.05 ,    2.2 ,   57.4 ,     1.01 ,  14.95 ,        ,        ,        ,  15.35 ,   0.40 , -15.34 ,          ,        ,       ,        ,        ,        , 14.705 ,        ,       , 0.178 ,
  NGC2337                     , G       ,   44.45731 ,    7.17044 ,      436 ,        5 ,      451 ,        9 ,      434 ,        4 ,  13.02 ,   0.28 , IB    , B    ,       ,           ,             ,   9.8 ,   0.6 ,     1.34 ,     0.05 ,     0.13 ,     0.04 ,  114.1 ,   47.7 ,     1.37 ,  12.40 ,        ,        ,        ,  13.80 ,   1.40 , -17.87 ,          , 10.385 , 0.092 ,        ,        ,        ,  12.53 ,  12.53 ,       ,   0.1 ,
  UGC03817                    , G       ,   45.10846 ,    7.37902 ,      437 ,        4 ,      369 ,       36 ,      438 ,        3 ,  16.48 ,   0.63 , I     ,      ,       ,           ,             ,   9.8 ,   0.5 ,     1.23 ,     0.07 ,     0.29 ,     0.06 ,        ,   70.8 ,     1.27 ,  15.50 ,        ,        ,        ,  15.04 ,  -0.46 , -14.16 ,          ,  12.33 , 0.514 ,        ,        ,        ,  15.25 ,        ,       ,   0.1 ,
  UGC05918                    , G       ,   65.53127 ,   10.82693 ,      339 ,        2 ,      340 ,       42 ,      339 ,        3 ,  15.16 ,   0.18 , I     ,      ,       ,           ,             ,   9.8 ,   0.5 ,     1.39 ,     0.06 ,     0.01 ,     0.04 ,        ,   11.3 ,     1.40 ,  15.10 ,        ,   0.04 ,   0.47 ,  14.61 ,  -0.50 , -14.24 ,          , 12.852 , 0.575 ,        ,        , 15.213 , 14.629 ,        , 0.185 ,  0.08 ,
  UGC05846                    , G       ,   60.36778 ,   10.74172 ,     1020 ,        1 ,     1020 ,        1 ,     1020 ,        3 ,  15.34 ,   0.10 , I     ,      ,       ,           , D           ,   9.9 ,   0.4 ,     1.21 ,     0.05 ,     0.00 ,     0.05 ,        ,    0.0 ,     1.21 ,  15.30 ,        ,  -0.30 ,   0.36 ,  14.62 ,  -0.68 , -16.02 ,          ,        ,       ,        ,        , 14.753 , 14.729 ,        , 0.147 , 0.132 ,
  UGC07490                    , G       ,   70.33422 ,   12.40691 ,      466 ,        2 ,      465 ,        5 ,      466 ,        4 ,  13.42 ,   0.22 , Sm    ,      ,       ,           , D           ,   8.7 ,   0.5 ,     1.06 ,     0.04 ,     0.23 ,     0.03 ,        ,   62.8 ,     1.06 ,  12.88 ,        ,  -0.07 ,   0.32 ,  14.65 ,   1.77 , -17.30 ,          , 11.311 , 0.459 ,        ,        , 13.397 , 13.017 ,        , 0.218 , 0.218 ,
  UGC08201                    , G       ,   67.70693 ,   13.10692 ,       31 ,        3 ,       36 ,        7 ,       30 ,        4 ,  12.93 ,   0.22 , I     ,      ,       , M         , D           ,   9.9 ,   0.4 ,     1.52 ,     0.03 ,     0.29 ,     0.05 ,   92.5 ,   71.2 ,     1.52 ,  12.28 ,        ,  -0.24 ,   0.25 ,  14.04 ,   1.76 , -16.14 ,          ,  11.72 , 0.457 ,        ,        , 12.985 , 12.826 ,        , 0.024 , 0.041 ,
  UGC09992                    , G       ,   67.25380 ,   15.69664 ,      428 ,        3 ,      428 ,       60 ,      428 ,        4 ,  15.40 ,   0.34 , I     ,      ,       ,           , D           ,   9.9 ,   0.5 ,     1.16 ,     0.06 ,     0.21 ,     0.04 ,  148.0 ,   60.3 ,     1.17 ,  14.85 ,        ,        ,        ,  15.10 ,   0.25 , -15.41 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC10310                    , G       ,   47.04532 ,   16.27164 ,      717 ,        4 ,      729 ,        7 ,      716 ,        3 ,  13.69 ,   0.13 , Sm    , B    ,       , M         ,             ,   9.2 ,   0.6 ,     1.41 ,     0.06 ,     0.10 ,     0.05 ,  164.3 ,   41.7 ,     1.41 ,  13.46 ,  13.58 ,  -0.29 ,   0.38 ,  14.47 ,   1.02 , -17.41 ,          ,        ,       ,  13.60 ,   0.11 , 15.328 ,  13.27 ,        ,  0.19 , 0.132 ,
  NGC2787                     , G       ,   69.20331 ,    9.32179 ,      697 ,       11 ,      606 ,       40 ,      699 ,        6 ,  11.60 ,   0.11 , S0-a  , B    , R     ,           ,             ,  -1.0 ,   0.9 ,     1.51 ,     0.02 ,     0.25 ,     0.03 ,  113.5 ,   66.1 ,     1.56 ,  11.02 ,   8.81 ,   0.50 ,   0.89 ,  14.12 ,   3.10 , -18.45 , S3b      ,  7.301 , 0.048 ,   9.06 ,   0.10 , 12.272 , 11.248 ,        , 0.114 , 0.623 ,
  NGC2820A                    , G       ,   64.23866 ,    9.35835 ,     1443 ,       29 ,     1430 ,        2 ,     1574 ,        6 ,  15.44 ,   0.05 , Sa    ,      ,       , M         ,             ,   1.1 ,   3.1 ,     0.68 ,     0.12 ,     0.47 ,     0.06 ,    9.5 ,   84.0 ,     0.68 ,  14.80 ,  15.40 ,  -0.74 ,   0.24 ,  12.51 ,  -2.29 , -17.12 ,          , 13.615 , 0.147 ,  15.50 ,   0.16 , 15.792 , 15.038 ,        , 0.291 , 0.048 ,
  UGC05423                    , G       ,   70.36444 ,   10.09190 ,      353 ,        2 ,      354 ,        1 ,      347 ,        3 ,  15.06 ,   0.37 , I     ,      ,       ,           ,             ,   9.9 ,   0.5 ,     1.04 ,     0.04 ,     0.35 ,     0.03 ,  139.2 ,   79.8 ,     1.06 ,  14.06 ,        ,  -0.23 ,   0.40 ,  15.94 ,   1.88 , -15.69 ,          , 12.071 , 0.113 ,        ,        , 15.044 , 14.493 ,        , 0.027 ,  0.17 ,
  UGC05139                    , G       ,   71.18330 ,    9.67564 ,      140 ,        1 ,      140 ,        1 ,      140 ,        2 ,  13.37 ,   0.27 , IAB   , B    ,       ,           , D           ,   9.9 ,   0.3 ,     1.52 ,     0.03 ,     0.02 ,     0.04 ,        ,   18.4 ,     1.54 ,  13.12 ,        ,        ,   0.36 ,  13.69 ,   0.57 , -14.90 ,          , 11.006 , 0.182 ,        ,        ,        , 13.117 ,        ,       , 0.135 ,
  IC2574                      , G       ,   68.41209 ,   10.47319 ,       46 ,        4 ,       -5 ,       34 ,       46 ,        3 ,  10.82 ,   0.07 , SABm  , B    ,       ,           ,             ,   8.9 ,   0.3 ,     2.11 ,     0.02 ,     0.36 ,     0.05 ,   48.4 ,   83.0 ,     2.11 ,   9.99 ,        ,        ,   0.33 ,  11.21 ,   1.22 , -18.01 ,          ,        ,       ,        ,        ,        , 10.463 ,  11.68 ,       , 0.126 ,
  UGC04305                    , G       ,   70.72167 ,    8.31788 ,      158 ,        1 ,      157 ,       20 ,      158 ,        2 ,  11.16 ,   0.07 , I     ,      ,       ,           ,             ,   9.9 ,   0.5 ,     1.90 ,     0.02 ,     0.15 ,     0.03 ,   15.2 ,   51.4 ,     1.91 ,  10.74 ,        ,        ,   0.37 ,  11.95 ,   1.21 , -16.96 ,          ,  8.687 , 0.677 ,        ,        ,        , 10.748 ,  12.84 ,       , 0.071 ,
  UGC04459                    , G       ,   66.18000 ,    8.56847 ,       24 ,        3 ,       27 ,        2 ,       19 ,        3 ,  14.76 ,   0.24 , I     ,      ,       ,           ,             ,   9.9 ,   0.5 ,     0.90 ,     0.07 ,     0.16 ,     0.03 ,  114.1 ,   52.6 ,     0.91 ,  14.30 ,        ,  -0.50 ,   0.30 ,  14.40 ,   0.10 , -13.49 ,          , 12.625 , 0.176 ,        ,        , 12.987 , 13.347 ,        , 0.113 , 0.428 ,
  NGC3034                     , G       ,   69.67977 ,    9.93120 ,      231 ,        6 ,      237 ,        3 ,      221 ,        4 ,   8.94 ,   0.17 , S?    ,      ,       , M         ,             ,   7.2 ,   4.1 ,     2.04 ,     0.02 ,     0.33 ,     0.05 ,   65.8 ,   76.9 ,     2.09 ,   7.66 ,        ,   0.13 ,   0.68 ,  11.21 ,   3.55 , -20.13 ,          ,   4.67 , 0.026 ,        ,        ,  9.249 ,  8.303 ,   5.58 ,  0.17 , 0.172 ,
  NGC2768                     , G       ,   60.03732 ,    9.19374 ,     1398 ,       11 ,     1384 ,       13 ,     1410 ,       12 ,  10.82 ,   0.12 , E     ,      ,       ,           ,             ,  -4.4 ,   1.1 ,     1.75 ,     0.03 ,     0.40 ,     0.03 ,   93.5 ,   90.0 ,     1.77 ,  10.60 ,   8.64 ,   0.42 ,   0.91 ,  16.13 ,   5.53 , -21.14 , S        ,  7.024 ,  0.09 ,   8.73 ,   0.10 , 11.278 , 11.069 ,        , 0.121 ,  1.01 ,
  UGC03701                    , G       ,   72.16919 ,    7.19519 ,     2915 ,        4 ,     2914 ,       10 ,     2916 ,        6 ,  15.11 ,   0.33 , Sc    ,      ,       ,           , D           ,   6.0 ,   0.4 ,     1.24 ,     0.06 ,     0.00 ,     0.05 ,        ,    0.0 ,     1.27 ,  14.83 ,        ,        ,        ,  15.27 ,   0.44 , -18.48 ,          , 12.902 , 0.259 ,        ,        ,        ,        ,        ,       ,       ,
  NGC6654                     , G       ,   73.18325 ,   18.40209 ,     1832 ,       34 ,     2032 ,       23 ,     1821 ,        6 ,  12.81 ,   0.18 , S0-a  , B    , R     ,           ,             ,  -0.6 ,   1.0 ,     1.46 ,     0.05 ,     0.12 ,     0.03 ,    5.0 ,   44.6 ,     1.48 ,  12.51 ,        ,   0.44 ,   0.87 ,        ,        , -19.96 ,          ,  8.604 , 0.025 ,        ,        , 13.323 , 11.843 ,        , 0.178 , 0.178 ,
  NGC2350                     , G       ,   12.26609 ,    7.22005 ,     1902 ,       13 ,     1877 ,       23 ,     1910 ,       13 ,  14.02 ,   0.32 , S0-a  ,      ,       ,           ,             ,   0.0 ,   0.7 ,     1.14 ,     0.07 ,     0.30 ,     0.05 ,  110.0 ,   68.4 ,     1.18 ,  13.24 ,        ,        ,        ,  18.09 ,   4.85 , -18.92 ,          ,  9.287 , 0.036 ,        ,        ,        ,        ,  11.31 ,       ,       ,
  UGC04483                    , G       ,   69.77639 ,    8.61761 ,      157 ,        1 ,      157 ,        1 ,      157 ,        3 ,  15.13 ,   0.24 , I     ,      ,       , M         ,             ,   9.8 ,   0.5 ,     1.05 ,     0.07 ,     0.26 ,     0.05 ,  167.4 ,   67.4 ,     1.06 ,  14.50 ,        ,  -0.58 ,   0.22 ,  14.88 ,   0.39 , -13.23 ,          , 13.006 , 0.304 ,        ,        ,  14.56 , 14.842 ,        , 0.017 , 0.101 ,
