                  objname , objtype ,     de2000 ,     al2000 ,        v ,      e_v ,     vopt ,   e_vopt ,     vrad ,   e_vrad ,     bt ,   e_bt ,  type ,  bar ,  ring ,  multiple , compactness ,     t ,   e_t ,   logd25 , e_logd25 ,   logr25 , e_logr25 ,     pa ,   incl ,    logdc ,    btc ,    itc ,   ubtc ,   bvtc ,   m21c ,    hic ,   mabs , agnclass ,     kt ,  e_kt ,     it ,   e_it ,     ut ,     vt ,   mfir ,  e_ut ,  e_vt ,</strong>
  ESO491-001                  , G       ,  -26.44125 ,    6.82222 ,     2255 ,       39 ,     2255 ,       39 ,          ,          ,  15.03 ,   0.24 , S0    ,      ,       ,           ,             ,  -1.6 ,   1.8 ,     0.97 ,     0.05 ,     0.20 ,     0.03 ,  140.1 ,   60.5 ,     1.02 ,  14.42 ,  13.29 ,        ,        ,        ,        , -17.92 ,          , 11.329 ,  0.15 ,  13.54 ,   0.07 ,        ,        ,        ,       ,       ,
  UGC03564                    , G       ,   16.35576 ,    6.84343 ,     2548 ,        3 ,          ,          ,     2548 ,        3 ,  16.75 ,   0.43 , Sd    ,      ,       ,           ,             ,   8.0 ,   0.5 ,     0.95 ,     0.11 ,     0.00 ,     0.06 ,        ,    0.0 ,     1.01 ,  16.11 ,        ,        ,        ,  15.49 ,  -0.61 , -16.70 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  ESO427-014                  , G       ,  -29.59291 ,    6.85585 ,     2010 ,        5 ,     2019 ,       42 ,     2010 ,        7 ,  15.55 ,   0.20 , SBab  , B    ,       ,           ,             ,   2.1 ,   0.6 ,     1.11 ,     0.03 ,     0.51 ,     0.02 ,   94.5 ,   83.5 ,     1.14 ,  14.35 ,  13.51 ,        ,        ,        ,        , -17.71 ,          , 12.301 , 0.707 ,  13.77 ,   0.08 ,        ,        ,        ,       ,       ,
  PGC019750                   , G       ,   16.29464 ,    6.86610 ,     2675 ,       44 ,     2675 ,       44 ,          ,          ,  15.25 ,   0.41 , S0    ,      ,       ,           ,             ,  -2.0 ,   2.4 ,     0.89 ,     0.06 ,     0.25 ,     0.03 ,   24.5 ,   69.9 ,     0.94 ,  14.65 ,        ,        ,        ,        ,        , -18.26 ,          , 10.777 , 0.044 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03586                    , G       ,   14.72894 ,    6.89158 ,     2398 ,        5 ,          ,          ,     2398 ,        5 ,  17.00 ,   0.50 , Scd   ,      ,       ,           ,             ,   7.0 ,   0.5 ,     1.01 ,     0.10 ,     0.34 ,     0.07 ,   54.8 ,   64.0 ,     1.05 ,  15.85 ,        ,        ,        ,  16.38 ,   0.54 , -16.82 ,          , 13.444 , 0.217 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03587                    , G       ,   19.29964 ,    6.89857 ,     1267 ,        1 ,     1267 ,        1 ,     1266 ,        2 ,  14.19 ,   0.33 , Sbc   ,      ,       ,           ,             ,   4.1 ,   2.6 ,     1.35 ,     0.03 ,     0.52 ,     0.04 ,  105.2 ,   78.3 ,     1.37 ,  12.96 ,        ,        ,        ,  13.63 ,   0.67 , -18.84 ,          , 10.818 ,  0.31 ,        ,        ,        ,        ,  13.68 ,       ,       ,
  ESO491-009                  , G       ,  -26.60733 ,    6.92366 ,     2055 ,        2 ,     2034 ,       39 ,     2055 ,        3 ,  14.85 ,   0.19 , SABd  , B    ,       ,           ,             ,   7.6 ,   1.3 ,     1.23 ,     0.03 ,     0.55 ,     0.03 ,   97.8 ,   90.0 ,     1.31 ,  12.82 ,  12.37 ,        ,        ,  13.43 ,   0.61 , -19.61 ,          , 10.503 , 0.251 ,  12.82 ,   0.08 ,        ,        ,  13.03 ,       ,       ,
  ESO491-010                  , G       ,  -26.76004 ,    6.92379 ,     2056 ,        4 ,          ,          ,     2056 ,        4 ,  15.63 ,   0.20 , IB    , B    ,       ,           ,             ,  10.0 ,   0.4 ,     0.74 ,     0.07 ,     0.38 ,     0.03 ,   42.2 ,   86.1 ,     0.83 ,  13.87 ,  14.04 ,        ,        ,        ,        , -18.25 ,          ,        ,       ,  14.51 ,   0.23 ,        ,        ,        ,       ,       ,
  UGC03602                    , G       ,   15.93442 ,    6.92412 ,     2074 ,        2 ,     2073 ,        7 ,     2074 ,        4 ,  14.76 ,   0.32 , Sd    ,      ,       ,           ,             ,   8.0 ,   0.5 ,     0.96 ,     0.06 ,     0.05 ,     0.03 ,  129.0 ,   29.5 ,     1.00 ,  14.17 ,        ,        ,        ,  14.87 ,   0.70 , -18.17 ,          ,  13.01 ,   0.1 ,        ,        ,        ,        ,        ,       ,       ,
  ESO491-011                  , G       ,  -26.28076 ,    6.93476 ,     2351 ,        6 ,          ,          ,     2351 ,        6 ,  17.21 ,   0.20 , Sc    ,      ,       ,           ,             ,   5.4 ,   1.2 ,     1.14 ,     0.05 ,     1.14 ,     0.05 ,   85.4 ,   90.0 ,     1.19 ,  14.45 ,  14.65 ,        ,        ,  15.88 ,   1.43 , -17.98 ,          ,        ,       ,  15.07 ,   0.08 ,        ,        ,        ,       ,       ,
  PGC019917                   , G       ,  -26.90090 ,    6.95469 ,     2125 ,        5 ,     2125 ,       60 ,     2125 ,        7 ,  16.80 ,   0.50 , IB    , B    ,       ,           ,             ,  10.0 ,   0.4 ,     1.16 ,     0.13 ,     0.12 ,     0.11 ,        ,   45.1 ,     1.25 ,  15.58 ,        ,        ,        ,  15.68 ,   0.10 , -16.63 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC03598                    , G       ,   60.65168 ,    6.94181 ,     1994 ,        1 ,     1994 ,        1 ,     1994 ,        5 ,  15.46 ,   0.32 , I     , B    ,       ,           ,             ,   9.9 ,   0.4 ,     0.92 ,     0.05 ,     0.26 ,     0.03 ,   34.6 ,   66.5 ,     0.94 ,  14.66 ,        ,        ,        ,  15.13 ,   0.47 , -16.67 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  ESO491-012                  , G       ,  -24.72693 ,    6.95685 ,     2578 ,        3 ,     2550 ,       58 ,     2578 ,        4 ,  14.81 ,   0.20 , Sc    ,      ,       ,           ,             ,   5.0 ,   0.5 ,     1.28 ,     0.03 ,     0.77 ,     0.03 ,  163.6 ,   90.0 ,     1.35 ,  12.54 ,  12.29 ,        ,        ,  14.28 ,   1.75 , -20.33 ,          , 10.073 , 0.045 ,  12.74 ,   0.10 ,        ,        ,  13.29 ,       ,       ,
  ESO427-022                  , G       ,  -28.76777 ,    6.97465 ,     2268 ,       39 ,     2268 ,       39 ,          ,          ,  15.98 ,   0.75 , Sa    ,      ,       ,           ,             ,   1.0 ,   2.0 ,     1.08 ,     0.06 ,     0.67 ,     0.05 ,  142.8 ,   90.0 ,     1.11 ,  14.83 ,  11.93 ,        ,        ,        ,        , -17.52 ,          , 10.495 , 0.138 ,  12.21 ,   0.09 ,        ,        ,        ,       ,       ,
  UGC03621                    , G       ,   14.29500 ,    6.98456 ,     2336 ,        4 ,          ,          ,     2336 ,        4 ,  17.00 ,   0.50 , I     ,      ,       ,           ,             ,   9.9 ,   0.4 ,     1.14 ,     0.07 ,     0.05 ,     0.05 ,        ,   28.9 ,     1.18 ,  16.47 ,        ,        ,        ,  14.79 ,  -1.68 , -16.12 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  ESO491-013                  , G       ,  -25.89980 ,    6.98925 ,     2681 ,        4 ,     2710 ,       50 ,     2680 ,        5 ,  14.43 ,   0.20 , S0-a  , B    , R     ,           ,             ,   0.0 ,   0.9 ,     1.21 ,     0.05 ,     0.39 ,     0.04 ,    6.9 ,   79.5 ,     1.30 ,  13.16 ,  11.77 ,        ,        ,  14.82 ,   1.66 , -19.61 ,          , 10.063 , 0.078 ,  12.24 ,   0.22 ,        ,        ,        ,       ,       ,
  IC0456                      , G       ,  -30.16378 ,    7.00487 ,     1728 ,       10 ,     1728 ,       10 ,          ,          ,  13.04 ,   0.26 , S0    , B    ,       ,           ,             ,  -1.8 ,   0.9 ,     1.37 ,     0.03 ,     0.16 ,     0.03 ,        ,   55.0 ,     1.42 ,  12.48 ,  10.60 ,        ,        ,        ,        , -19.22 ,          ,  8.875 , 0.035 ,  10.83 ,   0.08 ,        ,        ,        ,       ,       ,
  ESO366-030                  , G       ,  -32.61730 ,    7.00133 ,     2754 ,        5 ,     2754 ,       60 ,     2754 ,        7 ,  16.07 ,   0.20 , IB    , B    ,       ,           ,             ,  10.0 ,   0.5 ,     1.20 ,     0.04 ,     0.54 ,     0.03 ,   46.8 ,   90.0 ,     1.27 ,  14.11 ,  14.22 ,        ,        ,  14.63 ,   0.53 , -18.70 ,          ,        ,       ,  14.64 ,   0.07 ,        ,        ,        ,       ,       ,
  UGC03630                    , G       ,    1.91129 ,    7.01759 ,     1763 ,        3 ,     1785 ,       41 ,     1763 ,        4 ,  15.50 ,   0.50 , SABb  , B    , R     ,           , D           ,   3.0 ,   0.5 ,     1.17 ,     0.04 ,     0.27 ,     0.02 ,    3.6 ,   60.9 ,     1.37 ,  12.85 ,  10.34 ,        ,        ,  14.72 ,   1.88 , -19.17 ,          ,  8.647 , 0.041 ,  11.33 ,   0.52 ,        ,        ,  10.48 ,       ,       ,
  ESO427-026                  , G       ,  -28.45752 ,    7.03526 ,     2188 ,       39 ,     2188 ,       39 ,          ,          ,  14.71 ,   0.19 , S0-a  ,      ,       ,           ,             ,  -0.8 ,   1.2 ,     1.22 ,     0.05 ,     0.71 ,     0.06 ,   64.3 ,   90.0 ,     1.24 ,  14.18 ,  12.20 ,        ,        ,        ,        , -18.07 ,          , 10.346 , 0.059 ,  12.42 ,   0.08 ,        ,        ,  12.91 ,       ,       ,
  ESO427-027                  , G       ,  -28.71003 ,    7.04058 ,     2309 ,      150 ,     2309 ,      150 ,          ,          ,  15.19 ,   0.73 , S0-a  ,      ,       ,           ,             ,  -1.3 ,   1.3 ,     1.03 ,     0.04 ,     0.35 ,     0.04 ,   36.8 ,   83.3 ,     1.06 ,  14.67 ,  13.22 ,        ,        ,        ,        , -17.72 ,          , 11.547 , 0.191 ,  13.44 ,   0.07 ,        ,        ,        ,       ,       ,
  ESO427-029                  , G       ,  -29.42828 ,    7.04588 ,     1822 ,       14 ,     1822 ,       14 ,          ,          ,  13.41 ,   0.16 , S0    ,      ,       ,           ,             ,  -2.1 ,   0.8 ,     1.29 ,     0.04 ,     0.20 ,     0.04 ,  150.5 ,   62.7 ,     1.35 ,  12.81 ,  10.48 ,        ,        ,        ,        , -19.00 ,          ,  9.014 , 0.052 ,  10.73 ,   0.11 ,        ,        ,        ,       ,       ,
  UGC03626                    , G       ,   70.97061 ,    7.04486 ,     3275 ,        4 ,     3277 ,       10 ,     3274 ,        7 ,  15.25 ,   0.32 , Sbc   , B    ,       ,           ,             ,   4.0 ,   0.5 ,     0.99 ,     0.05 ,     0.60 ,     0.03 ,  143.9 ,   84.2 ,     1.00 ,  13.92 ,        ,        ,        ,  14.92 ,   1.00 , -19.62 ,          , 13.308 , 0.279 ,        ,        ,        ,        ,        ,       ,       ,
  PGC020086                   , G       ,   56.48631 ,    7.06644 ,     1406 ,       17 ,     1406 ,       17 ,          ,          ,  15.20 ,   0.41 , S?    , B    ,       ,           ,             ,  10.0 ,   5.0 ,     1.06 ,     0.04 ,     0.34 ,     0.04 ,   67.0 ,   78.3 ,     1.07 ,  14.31 ,        ,        ,        ,        ,        , -17.50 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC03658                    , G       ,   17.58257 ,    7.07778 ,     1183 ,        4 ,          ,          ,     1183 ,        4 ,  17.00 ,   0.50 , I     ,      ,       ,           ,             ,   9.9 ,   0.4 ,     1.24 ,     0.07 ,     0.40 ,     0.06 ,   65.0 ,   90.0 ,     1.24 ,  16.03 ,        ,        ,        ,  14.66 ,  -1.37 , -15.07 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC03644                    , G       ,   71.07039 ,    7.09396 ,     3246 ,        3 ,     3242 ,       10 ,     3247 ,        5 ,  14.80 ,   0.33 , Scd   , B    ,       ,           ,             ,   6.6 ,   0.7 ,     1.28 ,     0.03 ,     0.36 ,     0.04 ,  148.1 ,   65.9 ,     1.29 ,  13.87 ,        ,        ,        ,  14.87 ,   1.00 , -19.64 ,          , 13.237 , 0.283 ,        ,        ,        ,        ,        ,       ,       ,
  ESO558-011                  , G       ,  -22.03964 ,    7.11584 ,      735 ,        3 ,      738 ,       42 ,      735 ,        5 ,  15.80 ,   0.50 , IB    , B    ,       ,           ,             ,   9.9 ,   0.5 ,     1.26 ,     0.08 ,     0.24 ,     0.07 ,   47.0 ,   64.4 ,     1.39 ,  13.78 ,        ,        ,        ,  15.31 ,   1.53 , -15.74 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC03657                    , G       ,   71.19250 ,    7.12319 ,     3260 ,       60 ,     3260 ,       60 ,          ,          ,  16.50 ,   0.50 , Sc    ,      ,       ,           ,             ,   5.9 ,   0.5 ,     0.95 ,     0.04 ,     0.53 ,     0.03 ,  147.6 ,   76.3 ,     0.95 ,  15.33 ,        ,        ,        ,        ,        , -18.19 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  ESO427-034                  , G       ,  -28.22648 ,    7.12377 ,     2383 ,        2 ,     2387 ,       60 ,     2383 ,        3 ,  14.47 ,   0.20 , SBd   , B    ,       ,           ,             ,   7.6 ,   1.4 ,     1.33 ,     0.03 ,     0.41 ,     0.03 ,   25.7 ,   90.0 ,     1.38 ,  13.03 ,  13.56 ,        ,        ,  13.45 ,   0.42 , -19.32 ,          , 12.311 , 0.342 ,  13.86 ,   1.06 ,        ,        ,        ,       ,       ,
  PGC020249                   , G       ,  -28.48625 ,    7.15086 ,     2127 ,       26 ,     2127 ,       26 ,          ,          ,  16.94 ,   0.50 , Sbc   ,      ,       ,           ,             ,   3.6 ,   3.0 ,     0.74 ,     0.07 ,     0.19 ,     0.03 ,  163.0 ,   52.2 ,     0.79 ,  16.00 ,  12.23 ,        ,        ,        ,        , -16.21 ,          , 10.253 , 0.102 ,  12.50 ,   0.22 ,        ,        ,        ,       ,       ,
  PGC020274                   , G       ,   -5.42789 ,    7.15962 ,     1709 ,        4 ,     1706 ,        2 ,     1719 ,        4 ,        ,        , IAB   , B    ,       ,           , D           ,   9.7 ,   1.3 ,     1.31 ,     0.09 ,     0.19 ,     0.10 ,        ,   57.4 ,     1.49 ,        ,  11.39 ,        ,        ,  14.16 ,        ,        ,          ,  9.874 , 0.098 ,  12.27 ,   0.07 ,        ,        ,  12.94 ,       ,       ,
  ESO491-020                  , G       ,  -27.56897 ,    7.16302 ,     2876 ,       35 ,     2876 ,       35 ,          ,          ,  13.83 ,   0.20 , SBb   , B    ,       , M         ,             ,   3.0 ,   0.5 ,     1.12 ,     0.05 ,     0.15 ,     0.04 ,   70.2 ,   46.6 ,     1.18 ,  12.86 ,  11.73 ,        ,        ,  14.23 ,   1.37 , -20.35 ,          ,   9.62 , 0.055 ,  12.06 ,   0.24 ,        ,        ,  10.24 ,       ,       ,
  ESO491-021                  , G       ,  -27.57456 ,    7.16388 ,     2955 ,       16 ,     2847 ,       68 ,     2958 ,       12 ,  13.65 ,   0.20 , SBab  , B    , R     , M         ,             ,   2.1 ,   0.6 ,     1.22 ,     0.05 ,     0.47 ,     0.04 ,   24.5 ,   79.0 ,     1.27 ,  12.34 ,  12.08 ,        ,        ,  14.20 ,   1.85 , -20.63 ,          , 10.459 , 0.084 ,  12.40 ,   0.24 ,        ,        ,        ,       ,       ,
  ESO492-002                  , G       ,  -26.70501 ,    7.19455 ,     2590 ,        4 ,     2607 ,       29 ,     2590 ,        4 ,  12.99 ,   0.20 , Sb    , B    ,       ,           ,             ,   3.1 ,   0.7 ,     1.32 ,     0.04 ,     0.16 ,     0.05 ,  153.6 ,   48.8 ,     1.41 ,  11.63 ,  10.85 ,        ,        ,  13.36 ,   1.73 , -21.03 ,          ,  9.241 ,  0.08 ,  11.33 ,   0.09 ,        ,        ,  10.89 ,       ,       ,
  ESO492-003                  , G       ,  -26.65842 ,    7.19584 ,     2589 ,        6 ,     2598 ,       11 ,     2585 ,        7 ,  15.26 ,   0.20 , S0-a  ,      ,       ,           ,             ,  -1.0 ,   2.0 ,     1.00 ,     0.05 ,     0.34 ,     0.03 ,  160.6 ,   78.5 ,     1.09 ,  14.12 ,  12.89 ,        ,        ,        ,        , -18.54 ,          , 11.252 , 0.125 ,  13.38 ,   0.08 ,        ,        ,        ,       ,       ,
  UGC03705                    , G       ,   73.47061 ,    7.20310 ,     2685 ,        4 ,     2685 ,       10 ,     2685 ,        6 ,  14.33 ,   0.32 , Sc    ,      ,       ,           ,             ,   4.9 ,   2.3 ,     1.08 ,     0.04 ,     0.33 ,     0.03 ,   36.0 ,   64.5 ,     1.08 ,  13.60 ,        ,        ,        ,  14.99 ,   1.39 , -19.53 ,          , 11.382 , 0.118 ,        ,        ,        ,        ,        ,       ,       ,
  PGC020412                   , G       ,   71.67033 ,    7.21868 ,     3088 ,       42 ,     3088 ,       42 ,          ,          ,  15.68 ,   0.41 , Sbc   ,      ,       ,           ,             ,   4.3 ,   2.7 ,     0.78 ,     0.06 ,     0.13 ,     0.03 ,   36.0 ,   43.5 ,     0.79 ,  15.22 ,        ,        ,        ,        ,        , -18.19 ,          ,  12.03 , 0.052 ,        ,        ,        ,        ,        ,       ,       ,
  PGC020460                   , G       ,   73.48062 ,    7.23905 ,     2796 ,       59 ,     2796 ,       59 ,          ,          ,  14.08 ,   0.50 , E     ,      ,       , M         ,             ,  -4.0 ,   2.0 ,     1.33 ,     0.03 ,     0.31 ,     0.03 ,  174.5 ,   90.0 ,     1.34 ,  13.88 ,        ,        ,        ,        ,        , -19.34 ,          , 10.781 , 0.029 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03751                    , G       ,   23.08016 ,    7.23163 ,     2297 ,        3 ,     2295 ,        6 ,     2298 ,        5 ,  14.72 ,   0.32 , Sc    ,      ,       ,           ,             ,   5.0 ,   1.2 ,     1.15 ,     0.04 ,     0.56 ,     0.03 ,   29.8 ,   78.8 ,     1.15 ,  13.55 ,        ,        ,        ,  14.29 ,   0.74 , -18.77 ,          , 10.554 , 0.058 ,        ,        ,        ,        ,  13.25 ,       ,       ,
  ESO428-006                  , G       ,  -29.75281 ,    7.24633 ,     1966 ,       10 ,     2009 ,       34 ,     1963 ,        9 ,  15.74 ,   0.20 , Sbc   ,      ,       ,           ,             ,   4.0 ,   2.2 ,     1.17 ,     0.06 ,     0.73 ,     0.05 ,   43.4 ,   90.0 ,     1.21 ,  13.88 ,        ,        ,        ,  16.64 ,   2.76 , -18.14 ,          ,  11.21 , 0.042 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03766                    , G       ,   16.98156 ,    7.24732 ,      138 ,        7 ,     4910 ,       60 ,      138 ,        7 ,  15.44 ,   0.32 , Sc    ,      ,       ,           ,             ,   6.1 ,   0.9 ,     1.05 ,     0.04 ,     0.28 ,     0.03 ,  148.7 ,   59.9 ,     1.15 ,  13.71 ,        ,        ,        ,  15.02 ,   1.31 ,        ,          , 10.698 , 0.064 ,        ,        ,        ,        ,  12.87 ,       ,       ,
  UGC03748                    , G       ,   65.44170 ,    7.25754 ,     2479 ,        8 ,     2479 ,       60 ,     2479 ,       12 ,  15.93 ,   0.36 , I     ,      ,       ,           ,             ,   9.7 ,   0.7 ,     0.96 ,     0.05 ,     0.44 ,     0.04 ,   83.0 ,   90.0 ,     0.97 ,  14.85 ,        ,  -0.32 ,   0.34 ,  15.19 ,   0.34 , -18.09 ,          ,        ,       ,        ,        , 15.666 , 15.336 ,        , 0.046 , 0.034 ,
  UGC03775                    , G       ,   12.11490 ,    7.26460 ,     2140 ,        4 ,          ,          ,     2140 ,        4 ,  17.00 ,   0.50 , Sm    ,      ,       ,           ,             ,   8.8 ,   0.5 ,     1.14 ,     0.08 ,     0.06 ,     0.06 ,        ,   31.2 ,     1.18 ,  16.41 ,        ,        ,        ,  15.76 ,  -0.65 , -15.97 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  ESO428-012                  , G       ,  -28.74890 ,    7.26706 ,     2283 ,        8 ,          ,          ,     2283 ,        8 ,  15.55 ,   0.20 , Sbc   ,      ,       ,           ,             ,   4.2 ,   3.0 ,     0.98 ,     0.04 ,     0.38 ,     0.03 ,   49.8 ,   68.7 ,     1.05 ,  14.07 ,  14.33 ,        ,        ,  15.08 ,   1.00 , -18.31 ,          ,        ,       ,  14.71 ,   0.08 ,        ,        ,        ,       ,       ,
  UGC03749                    , G       ,   67.98383 ,    7.26494 ,     1154 ,        3 ,     1179 ,       32 ,     1154 ,        3 ,  15.11 ,   0.33 , Sc    ,      ,       ,           ,             ,   5.8 ,   0.5 ,     1.23 ,     0.03 ,     0.70 ,     0.03 ,   21.1 ,   85.2 ,     1.21 ,  13.74 ,  13.46 ,        ,        ,  15.47 ,   1.74 , -18.34 ,          , 12.424 , 0.253 ,  13.54 ,   0.06 ,        ,        ,        ,       ,       ,
  ESO428-014                  , G       ,  -29.32481 ,    7.27533 ,     1707 ,        6 ,     1703 ,       10 ,     1711 ,       11 ,  13.29 ,   0.17 , S0    , B    , R     ,           ,             ,  -1.8 ,   0.9 ,     1.30 ,     0.05 ,     0.21 ,     0.04 ,  136.6 ,   62.1 ,     1.38 ,  12.41 ,  10.90 ,        ,        ,  16.18 ,   3.77 , -19.23 ,          ,  8.799 , 0.046 ,  11.28 ,   0.07 ,        ,  13.52 ,  11.65 ,       ,   0.1 ,
  ESO492-007                  , G       ,  -24.72028 ,    7.28074 ,     2671 ,        7 ,          ,          ,     2671 ,        7 ,  16.19 ,   0.20 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.70 ,     0.09 ,     0.45 ,     0.03 ,  145.4 ,   90.0 ,     0.85 ,  13.55 ,        ,        ,        ,  15.50 ,   1.95 , -19.22 ,          , 12.173 , 0.125 ,        ,        ,        ,        ,        ,       ,       ,
  ESO428-015                  , G       ,  -29.38135 ,    7.28571 ,     2076 ,        6 ,          ,          ,     2076 ,        6 ,  15.68 ,   0.20 , Sbc   ,      ,       ,           ,             ,   3.9 ,   2.1 ,     1.12 ,     0.06 ,     0.87 ,     0.05 ,   54.9 ,   90.0 ,     1.17 ,  13.58 ,        ,        ,        ,  13.54 ,  -0.03 , -18.29 ,          , 13.044 , 0.287 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03777                    , G       ,   29.85488 ,    7.27858 ,     3213 ,        3 ,     3213 ,        5 ,     3212 ,        5 ,  14.40 ,   0.33 , Sc    ,      ,       ,           ,             ,   5.9 ,   0.5 ,     1.29 ,     0.03 ,     0.70 ,     0.03 ,  150.6 ,   85.5 ,     1.29 ,  12.93 ,  12.57 ,        ,        ,  14.55 ,   1.62 , -20.17 ,          ,  10.97 , 0.208 ,  12.68 ,   0.10 ,        ,        ,  12.84 ,       ,       ,
  ESO428-018                  , G       ,  -29.58088 ,    7.28682 ,     2078 ,        6 ,          ,          ,     2078 ,        6 ,  15.98 ,   0.20 , Sbc   ,      ,       ,           ,             ,   4.2 ,   3.0 ,     0.96 ,     0.06 ,     0.51 ,     0.03 ,  118.2 ,   77.2 ,     1.02 ,  14.31 ,  13.87 ,        ,        ,  15.45 ,   1.13 , -18.20 ,          , 13.043 ,  0.18 ,  14.24 ,   0.10 ,        ,        ,        ,       ,       ,
  ESO428-017                  , G       ,  -28.91717 ,    7.28713 ,     2387 ,        3 ,     2387 ,        7 ,     2388 ,        5 ,  15.52 ,   0.20 , Sc    ,      ,       ,           ,             ,   5.0 ,   2.0 ,     1.03 ,     0.06 ,     0.55 ,     0.03 ,   53.2 ,   78.4 ,     1.10 ,  13.62 ,  13.07 ,        ,        ,  15.36 ,   1.74 , -18.95 ,          , 11.154 , 0.179 ,  13.50 ,   0.32 ,        ,        ,        ,       ,       ,
  UGC03771                    , G       ,   70.51906 ,    7.29822 ,     2953 ,       16 ,     2953 ,       16 ,          ,          ,  14.94 ,   0.32 , Sb    , B    ,       ,           ,             ,   3.0 ,   0.4 ,     1.03 ,     0.08 ,     0.09 ,     0.05 ,   20.0 ,   37.6 ,     1.05 ,  14.57 ,        ,        ,        ,        ,        , -18.76 ,          , 12.505 , 0.208 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03784                    , G       ,   26.64744 ,    7.29961 ,     2590 ,        3 ,     2589 ,       60 ,     2590 ,        4 ,  16.97 ,   0.32 , Sc    ,      ,       ,           ,             ,   5.9 ,   0.4 ,     0.87 ,     0.06 ,     0.62 ,     0.03 ,  155.8 ,   81.0 ,     0.88 ,  15.55 ,        ,        ,        ,  15.78 ,   0.23 , -17.77 ,          ,  14.26 , 0.111 ,        ,        ,        ,        ,        ,       ,       ,
  PGC020611                   , G       ,   68.34269 ,    7.30119 ,     2660 ,       27 ,     2660 ,       27 ,          ,          ,  14.84 ,   0.43 , E     ,      ,       ,           , C           ,  -5.0 ,   2.0 ,          ,          ,          ,          ,  125.0 ,        ,          ,  14.60 ,        ,        ,        ,        ,        , -18.50 ,          , 10.978 , 0.121 ,        ,        ,        ,        ,        ,       ,       ,
  PGC020614                   , G       ,   26.54992 ,    7.30313 ,     2634 ,       18 ,     2634 ,       18 ,          ,          ,  15.46 ,   0.41 , S?    ,      ,       ,           ,             ,   3.0 ,   5.0 ,     0.84 ,     0.06 ,     0.36 ,     0.03 ,  131.0 ,   68.4 ,     0.86 ,  14.58 ,        ,        ,        ,        ,        , -18.36 ,          , 12.701 , 0.082 ,        ,        ,        ,        ,        ,       ,       ,
  ESO428-020                  , G       ,  -29.37425 ,    7.31043 ,     2017 ,        6 ,          ,          ,     2017 ,        6 ,  15.78 ,   0.20 , Sc    ,      ,       ,           ,             ,   5.6 ,   1.0 ,     1.17 ,     0.05 ,     0.92 ,     0.05 ,  155.7 ,   90.0 ,     1.20 ,  13.46 ,  13.65 ,        ,        ,  15.40 ,   1.94 , -18.61 ,          , 12.996 , 0.306 ,  14.00 ,   0.61 ,        ,        ,        ,       ,       ,
  PGC020734                   , G       ,   58.20727 ,    7.34478 ,     3276 ,       17 ,     3276 ,       17 ,          ,          ,  15.45 ,   0.41 , Sab   ,      ,       ,           ,             ,   2.5 ,   2.6 ,     0.87 ,     0.06 ,     0.24 ,     0.03 ,   10.5 ,   57.9 ,     0.89 ,  14.81 ,        ,        ,        ,        ,        , -18.68 ,          ,  12.47 ,  0.08 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03808                    , G       ,   25.17867 ,    7.35060 ,     2388 ,        2 ,     2388 ,        3 ,     2388 ,        3 ,  15.41 ,   0.33 , Sc    , B    ,       ,           ,             ,   6.4 ,   0.8 ,     1.19 ,     0.06 ,     0.28 ,     0.03 ,   52.0 ,   60.0 ,     1.20 ,  14.64 ,  13.75 ,        ,        ,  14.87 ,   0.23 , -18.50 ,          ,        ,       ,  13.87 ,   0.08 ,        ,        ,        ,       ,       ,
  ESO428-023                  , G       ,  -29.23542 ,    7.36929 ,     3025 ,        4 ,     3054 ,       35 ,     3025 ,        5 ,  13.44 ,   0.20 , SBab  , B    ,       ,           ,             ,   2.1 ,   0.7 ,     1.36 ,     0.04 ,     0.16 ,     0.05 ,   70.0 ,   48.9 ,     1.46 ,  12.12 ,  10.93 ,        ,        ,  15.57 ,   3.45 , -20.92 ,          ,  9.025 , 0.156 ,  11.40 ,   0.37 ,        ,        ,  10.66 ,       ,       ,
