# NED name
# SDSS ID in catalog
# RA
# DEC
# CO : Observed at IRAM/30m =O,  Literature=L not observed=N, Literature but reobserved OL
# Detected (Y=1/N=0 unclear=2)]
# HI (Y=1/N=0)
#
# attention certains (rares) ID_SDSS du fichier nasa ne sont pas exactement les ID_SDSS que donne NED
# HI Jy km/s
# H2 mass/Msun
# Reference for H2
                                             RA          DEC        v       CO?   detect HI?  HIJykm/s H2mass
# Filament 1 & Group 5354
   CGCG118-019    J075345.28+210257.9   07 53 45.27   21 02 57.90   2106     L     1     N     xxx    7.26
   KUG0933+293    J093607.51+290642.9   09 36 07.52   29 06 42.90   1652     L     1     N     xxx    6.95
       NGC2968    J094312.00+315543.3   09 43 12.01   31 55 43.30   1566     O     0     1    21.7     xxx
       NGC3067    J095821.06+322211.4   09 58 21.08   32 22 11.60   1476     O     1     1    13.8     xxx
        IC2450    J091705.28+252545.4   09 17 05.28   25 25 45.00   1644     O     1     N     xxx     xxx
       UGCA201    J100618.16+285641.9   10 06 18.11   28 56 40.40   1363     O     1?    1     1.0     xxx
      UGC05588    J102057.12+252153.8   10 20 57.13   25 21 53.40   1291     O     1     1     3.3     xxx
      NGC3245A    J102701.12+283821.5   10 27 01.13   28 38 21.60   1322     O     0     1    12.5     xxx
       NGC3265    J103106.76+284747.9   10 31 06.77   28 47 48.00   1319     L     0     1     1.8     xxx
       NGC2577    J082243.40+223311.0   08 22 43.45   22 33 11.10   2062     L     0     0     0.3   <7.71
       NGC2592    J082707.99+255812.9   08 27 08.05   25 58 13.10   1979     L     0     N     xxx   <7.54
       NGC2594    J082717.09+255243.9   08 27 17.16   25 52 43.70   2362     L     0     N     xxx   <7.83
       NGC2679    J085131.29+305129.0   08 51 32.94   30 51 55.30   2017     L     0     N     xxx   <7.87
      UGC04722    J090023.50+253641.0   09 00 23.54   25 36 40.60   1794     L     0     1     xxx    11.8
       NGC2798    J091722.90+415959.0   09 17 22.79   41 59 59.00   1726     O     1     1     9.0     xxx
       NGC2852    J092314.60+400949.9   09 23 14.59   40 09 49.70   1781     L     0     N     xxx   <7.68
       NGC2859    J092418.49+343048.9   09 24 18.53   34 30 48.60   1690     L     0     1     3.5   <7.61
       NGC2964    J094254.19+315049.9   09 42 54.23   31 50 50.60   1328     L     1     1    25.7     xxx
       NGC3098    J100216.69+244240.0   10 02 16.69   24 42 39.90   1397     L     0     1     5.3   <7.47
       NGC3193    J101824.90+215337.9   10 18 24.90   21 53 38.30   1381     L     0     N     xxx   <7.91
       NGC3248    J102745.39+225049.9   10 27 45.44   22 50 49.90   1481     L     0     N     xxx   <7.55
       NGC3277    J103255.39+283042.0   10 32 55.45   28 30 42.20   1408     L     1     1     4.7     8.6
